Id,MSSubClass,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,KitchenQual,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SaleType,SaleCondition,SalePrice
21,45,IDOTRR,7,1930,1950,Wd Sdng,Wd Sdng,None,TA,PConc,TA,No,Unf,637,Ex,1108,1108,Gd,Gd,Attchd,1930.0,Unf,1,280,WD,Normal,139400
22,20,CollgCr,8,2002,2002,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,No,Unf,1777,Ex,1795,1795,Gd,Gd,Attchd,2002.0,RFn,2,534,WD,Normal,230000
23,120,MeadowV,5,1976,1976,CemntBd,CmentBd,None,TA,PConc,Gd,No,GLQ,1040,TA,1060,1060,TA,TA,Attchd,1976.0,Unf,2,572,WD,Normal,129900
24,20,Sawyer,5,1968,2001,Plywood,Plywood,None,TA,CBlock,TA,Mn,Rec,1060,Ex,1060,1060,Gd,TA,Attchd,1968.0,Unf,1,270,WD,Normal,154000
25,20,NridgHt,8,2007,2007,VinylSd,VinylSd,Stone,Gd,PConc,Gd,No,Unf,1566,Ex,1600,1600,Gd,Gd,Attchd,2007.0,RFn,3,890,WD,Normal,256300
26,20,NAmes,5,1951,2000,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,Mn,BLQ,900,TA,900,900,Gd,NoFireplace,Detchd,2005.0,Unf,2,576,WD,Normal,134800
27,20,NridgHt,8,2007,2008,VinylSd,VinylSd,Stone,Gd,PConc,Ex,No,GLQ,1704,Ex,1704,1704,Gd,Gd,Attchd,2008.0,RFn,3,772,WD,Normal,306000
28,20,NAmes,5,1957,1997,MetalSd,MetalSd,None,TA,CBlock,TA,Gd,BLQ,1484,TA,1600,1600,TA,Gd,Attchd,1957.0,RFn,1,319,WD,Normal,207500
29,30,BrkSide,4,1927,1950,MetalSd,MetalSd,None,TA,BrkTil,TA,No,Unf,520,Fa,520,520,Fa,NoFireplace,Detchd,1920.0,Unf,1,240,WD,Normal,68500
30,70,IDOTRR,4,1920,1950,BrkFace,BrkFace,None,TA,BrkTil,TA,No,Unf,649,TA,649,1317,TA,NoFireplace,Detchd,1920.0,Unf,1,250,WD,Normal,40000
31,20,Sawyer,5,1966,2006,HdBoard,HdBoard,None,TA,CBlock,TA,No,Unf,1228,Gd,1228,1228,Gd,NoFireplace,Attchd,1966.0,Unf,1,271,WD,Normal,149350
32,20,CollgCr,8,2007,2007,VinylSd,VinylSd,None,Gd,PConc,Ex,Av,Unf,1234,Ex,1234,1234,Gd,NoFireplace,Attchd,2007.0,RFn,2,484,WD,Normal,179900
33,20,NAmes,5,1959,1959,BrkFace,BrkFace,None,TA,CBlock,TA,No,Rec,1398,Gd,1700,1700,Gd,Gd,Attchd,1959.0,RFn,2,447,WD,Normal,165500
34,120,NridgHt,9,2005,2005,MetalSd,MetalSd,BrkFace,Ex,PConc,Ex,No,GLQ,1561,Ex,1561,1561,Ex,Gd,Attchd,2005.0,Fin,2,556,WD,Normal,277500
35,60,NridgHt,8,2004,2005,VinylSd,VinylSd,Stone,Gd,PConc,Ex,Av,Unf,1117,Ex,1132,2452,Gd,Gd,BuiltIn,2004.0,Fin,3,691,WD,Normal,309000
36,20,CollgCr,5,1994,1995,VinylSd,VinylSd,None,TA,PConc,Gd,No,Unf,1097,Ex,1097,1097,TA,NoFireplace,Attchd,1995.0,Unf,2,672,WD,Normal,145000
37,20,NAmes,5,1954,1990,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,No,Rec,1297,Gd,1297,1297,TA,TA,Attchd,1954.0,Fin,2,498,WD,Normal,153000
38,20,NAmes,5,1953,2007,VinylSd,VinylSd,None,TA,CBlock,TA,No,GLQ,1057,TA,1057,1057,Gd,NoFireplace,Detchd,1953.0,Unf,1,246,WD,Abnorml,109000
39,90,Edwards,4,1955,1955,AsbShng,Plywood,None,TA,PConc,NoBsmt,NoBsmt,NoBsmt,0,TA,1152,1152,Fa,NoFireplace,NoGarage,,NoGarage,0,0,WD,AdjLand,82000
40,20,NAmes,6,1965,1965,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,No,Rec,1088,Ex,1324,1324,TA,TA,Attchd,1965.0,RFn,2,440,WD,Abnorml,160000
41,20,Timber,5,1959,1959,VinylSd,VinylSd,None,TA,CBlock,TA,Gd,BLQ,1350,Gd,1328,1328,TA,Gd,Attchd,1959.0,RFn,1,308,WD,Normal,170000
42,85,SawyerW,5,1983,1983,HdBoard,HdBoard,None,TA,CBlock,Gd,Av,ALQ,840,Gd,884,884,Gd,NoFireplace,Attchd,1983.0,RFn,2,504,WD,Normal,144000
43,20,CollgCr,5,1975,1980,VinylSd,VinylSd,None,TA,CBlock,Gd,Av,LwQ,938,TA,938,938,TA,NoFireplace,Detchd,1977.0,Unf,1,308,WD,Normal,130250
44,20,NAmes,5,1959,1959,BrkFace,Wd Sdng,None,TA,CBlock,TA,No,ALQ,1150,Ex,1150,1150,TA,NoFireplace,Attchd,1959.0,RFn,1,300,WD,Normal,141000
45,120,NridgHt,9,2005,2005,MetalSd,MetalSd,BrkFace,Ex,PConc,Ex,No,GLQ,1752,Ex,1752,1752,Ex,Gd,Attchd,2005.0,RFn,2,576,WD,Normal,319900
46,50,Mitchel,7,2003,2003,VinylSd,VinylSd,None,Gd,PConc,Ex,No,GLQ,1434,Ex,1518,2149,Gd,Ex,Attchd,2003.0,RFn,2,670,WD,Abnorml,239686
47,20,Somerst,8,2006,2006,VinylSd,VinylSd,None,Gd,PConc,Gd,Av,GLQ,1656,Ex,1656,1656,Gd,NoFireplace,Attchd,2006.0,RFn,3,826,WD,Normal,249700
48,190,OldTown,4,1920,2008,MetalSd,MetalSd,None,TA,BrkTil,TA,No,Unf,736,Gd,736,1452,TA,NoFireplace,NoGarage,,NoGarage,0,0,New,Partial,113000
49,20,Sawyer,5,1966,1966,HdBoard,HdBoard,None,TA,CBlock,TA,No,BLQ,955,Ex,955,955,TA,NoFireplace,Attchd,1966.0,Unf,1,386,WD,Normal,127000
50,60,Gilbert,6,1997,1997,VinylSd,VinylSd,None,TA,PConc,Gd,Av,GLQ,794,Gd,794,1470,TA,NoFireplace,Attchd,1997.0,Fin,2,388,WD,Normal,177000
51,50,BrkSide,6,1934,1950,Wd Sdng,Wd Sdng,None,TA,PConc,TA,No,Unf,816,TA,816,1176,TA,Gd,Detchd,1985.0,Unf,2,528,WD,Normal,114500
52,90,IDOTRR,5,1963,1963,Wd Sdng,Wd Sdng,None,Fa,CBlock,Gd,Gd,LwQ,816,TA,816,816,TA,NoFireplace,CarPort,1963.0,Unf,2,516,WD,Normal,110000
53,20,Veenker,9,1981,1987,WdShing,Wd Shng,None,Gd,CBlock,Ex,Gd,GLQ,1842,Gd,1842,1842,Gd,Gd,Attchd,1981.0,Fin,3,894,WD,Normal,385000
54,80,NAmes,5,1955,1955,MetalSd,MetalSd,None,TA,CBlock,TA,No,ALQ,384,TA,1360,1360,TA,TA,Detchd,1962.0,Unf,2,572,WD,Normal,130000
55,20,NAmes,6,1964,1964,HdBoard,Plywood,BrkFace,TA,CBlock,TA,No,BLQ,1425,Gd,1425,1425,TA,Gd,Attchd,1964.0,RFn,2,576,WD,Normal,180500
56,160,Somerst,8,1999,2000,MetalSd,MetalSd,BrkFace,Gd,PConc,Gd,No,GLQ,970,Ex,983,1739,Gd,NoFireplace,Attchd,1999.0,Fin,2,480,WD,Abnorml,172500
57,60,CollgCr,7,2004,2004,VinylSd,VinylSd,None,Gd,PConc,Gd,No,Unf,860,Ex,860,1720,Gd,NoFireplace,Attchd,2004.0,RFn,2,565,WD,Normal,196500
58,60,StoneBr,10,2006,2006,VinylSd,VinylSd,BrkFace,Ex,PConc,Ex,Gd,Unf,1410,Ex,1426,2945,Gd,Gd,BuiltIn,2006.0,Fin,3,641,New,Partial,438780
59,20,CollgCr,5,1972,1972,HdBoard,HdBoard,None,TA,CBlock,TA,Av,ALQ,780,Ex,780,780,TA,NoFireplace,Detchd,1973.0,Unf,1,352,WD,Normal,124900
60,20,SawyerW,6,2004,2004,VinylSd,VinylSd,None,TA,PConc,Gd,No,ALQ,1158,Ex,1158,1158,Gd,NoFireplace,Detchd,2006.0,Unf,2,576,New,Partial,158000
61,75,IDOTRR,5,1920,1996,MetalSd,MetalSd,None,TA,BrkTil,TA,No,Unf,530,TA,581,1111,Fa,NoFireplace,Detchd,1935.0,Unf,1,288,WD,Normal,101000
62,120,NridgHt,8,2006,2006,VinylSd,VinylSd,Stone,Gd,PConc,Gd,Mn,GLQ,1370,Ex,1370,1370,Gd,Gd,Attchd,2006.0,RFn,2,484,WD,Normal,202500
63,70,OldTown,7,1921,1950,Stucco,Stucco,None,TA,BrkTil,TA,No,Unf,576,Gd,902,1710,TA,NoFireplace,Detchd,1990.0,Unf,2,480,WD,Normal,140000
64,60,CollgCr,7,1997,1998,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,No,GLQ,1057,Ex,1057,2034,Gd,NoFireplace,Attchd,1998.0,RFn,2,645,WD,Normal,219500
65,60,NridgHt,8,2004,2005,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,Av,Unf,1143,Ex,1143,2473,Gd,Gd,BuiltIn,2004.0,RFn,3,852,WD,Normal,317000
66,20,NAmes,7,1970,1989,Plywood,Plywood,BrkFace,TA,CBlock,Gd,Gd,GLQ,1947,TA,2207,2207,TA,Gd,Attchd,1970.0,RFn,2,576,WD,Normal,180000
67,20,CollgCr,7,2003,2003,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,Av,GLQ,1453,Ex,1479,1479,Gd,NoFireplace,Attchd,2003.0,RFn,2,558,WD,Normal,226000
68,30,OldTown,4,1945,1950,MetalSd,MetalSd,None,TA,CBlock,TA,No,Unf,747,TA,747,747,TA,NoFireplace,Attchd,1945.0,Unf,1,220,WD,Normal,80000
69,50,ClearCr,7,1953,1953,BrkFace,AsbShng,None,Gd,CBlock,TA,No,BLQ,1304,TA,1304,2287,TA,TA,Attchd,1953.0,Fin,2,667,WD,Normal,225000
70,20,NAmes,7,1973,1973,Plywood,Plywood,BrkFace,TA,CBlock,Gd,Gd,ALQ,2223,Ex,2223,2223,TA,Gd,Attchd,1973.0,Fin,2,516,WD,Normal,244000
71,20,Mitchel,4,1982,2006,HdBoard,Plywood,None,TA,CBlock,TA,No,ALQ,845,TA,845,845,TA,NoFireplace,Detchd,1987.0,Unf,2,360,WD,Normal,129500
72,60,Gilbert,7,1998,1998,VinylSd,VinylSd,BrkFace,TA,PConc,Gd,No,Unf,832,Gd,885,1718,TA,TA,Attchd,1998.0,Fin,2,427,WD,Normal,185000
73,20,NAmes,5,1954,2003,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,No,ALQ,1086,Gd,1086,1086,TA,NoFireplace,Attchd,1989.0,Unf,2,490,WD,Normal,144900
74,50,OldTown,3,1915,1950,VinylSd,VinylSd,None,Gd,CBlock,Fa,No,Unf,840,Gd,840,1605,TA,NoFireplace,Detchd,1915.0,Unf,1,379,WD,Normal,107400
75,180,MeadowV,4,1973,1973,CemntBd,CmentBd,None,TA,CBlock,Gd,Gd,GLQ,462,TA,526,988,TA,NoFireplace,BuiltIn,1973.0,Unf,1,297,WD,Normal,91000
76,20,NAmes,4,1956,1956,VinylSd,VinylSd,None,TA,CBlock,TA,No,ALQ,952,Ex,952,952,TA,NoFireplace,Detchd,1956.0,Unf,1,283,WD,Normal,135750
77,50,BrkSide,5,1948,2001,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,No,BLQ,672,TA,1072,1285,TA,NoFireplace,Detchd,1948.0,Unf,1,240,WD,Normal,127000
78,90,Sawyer,4,1968,1968,HdBoard,HdBoard,None,TA,CBlock,TA,No,Unf,1768,TA,1768,1768,TA,NoFireplace,NoGarage,,NoGarage,0,0,WD,Normal,136500
79,50,OldTown,5,1910,1981,Wd Sdng,Wd Sdng,None,TA,PConc,TA,No,Unf,440,Gd,682,1230,TA,NoFireplace,Detchd,1966.0,Unf,2,440,WD,Normal,110000
80,60,NAmes,6,1968,1968,VinylSd,VinylSd,BrkFace,TA,CBlock,Gd,No,Rec,896,TA,1182,2142,Gd,Gd,Attchd,1968.0,Fin,1,509,WD,Normal,193500
81,120,Mitchel,6,1998,1998,VinylSd,VinylSd,BrkFace,TA,PConc,Ex,No,GLQ,1237,Ex,1337,1337,TA,NoFireplace,Attchd,1998.0,Fin,2,405,WD,Normal,153500
82,20,Somerst,8,2007,2007,VinylSd,VinylSd,Stone,TA,PConc,Gd,No,GLQ,1563,Ex,1563,1563,Gd,Gd,Attchd,2007.0,RFn,3,758,WD,Normal,245000
83,20,NAmes,5,1960,1960,MetalSd,MetalSd,BrkCmn,TA,CBlock,TA,No,Unf,1065,Gd,1065,1065,TA,NoFireplace,Detchd,1974.0,Unf,2,461,COD,Normal,126500
84,80,Gilbert,7,1995,1996,HdBoard,HdBoard,BrkFace,TA,PConc,Gd,No,Unf,384,Gd,804,1474,TA,TA,BuiltIn,1995.0,Fin,2,400,WD,Normal,168500
85,60,NoRidge,8,1991,1992,HdBoard,HdBoard,BrkFace,Gd,CBlock,Gd,No,Unf,1288,Ex,1301,2417,Gd,TA,Attchd,1991.0,Unf,2,462,WD,Normal,260000
86,60,Gilbert,6,2005,2005,VinylSd,VinylSd,None,Gd,PConc,Gd,Av,Unf,684,Ex,684,1560,Gd,Gd,BuiltIn,2005.0,Fin,2,400,WD,Normal,174000
87,160,Somerst,6,2009,2009,VinylSd,VinylSd,Stone,Gd,PConc,Gd,Av,Unf,612,Ex,612,1224,Gd,NoFireplace,Detchd,2009.0,RFn,2,528,New,Partial,164500
88,50,IDOTRR,3,1915,1982,Plywood,Plywood,None,Fa,CBlock,TA,No,Unf,1013,TA,1013,1526,Fa,NoFireplace,NoGarage,,NoGarage,0,0,ConLD,Abnorml,85000
89,20,CollgCr,4,1994,1995,VinylSd,VinylSd,None,TA,PConc,Gd,No,GLQ,990,Ex,990,990,TA,NoFireplace,NoGarage,,NoGarage,0,0,WD,Normal,123600
90,20,NAmes,4,1950,1950,BrkFace,Wd Sdng,None,TA,Slab,NoBsmt,NoBsmt,NoBsmt,0,TA,1040,1040,TA,NoFireplace,Detchd,1950.0,Unf,2,420,WD,Normal,109900
91,20,NAmes,5,1961,1961,HdBoard,HdBoard,BrkCmn,TA,CBlock,TA,No,Rec,1235,TA,1235,1235,TA,NoFireplace,Attchd,1961.0,Unf,2,480,WD,Abnorml,98600
92,30,Crawfor,5,1921,2006,Wd Sdng,Wd Sdng,None,TA,BrkTil,Gd,No,ALQ,876,Ex,964,964,TA,NoFireplace,Detchd,1921.0,Unf,2,432,WD,Normal,163500
93,190,OldTown,6,1910,1998,MetalSd,MetalSd,None,TA,BrkTil,TA,Mn,Rec,1214,Ex,1260,2291,TA,Gd,Detchd,1900.0,Unf,2,506,WD,Normal,133900
94,60,CollgCr,6,1997,1997,VinylSd,VinylSd,None,TA,PConc,Gd,No,GLQ,824,Ex,905,1786,Gd,NoFireplace,Attchd,1997.0,RFn,2,684,WD,Normal,204750
95,60,Gilbert,6,1993,1993,VinylSd,VinylSd,BrkFace,Ex,PConc,Gd,No,ALQ,680,Gd,680,1470,TA,TA,BuiltIn,1993.0,Fin,2,420,WD,Normal,185000
96,20,CollgCr,7,1999,1999,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,Av,ALQ,1588,Ex,1588,1588,Gd,NoFireplace,Attchd,1999.0,RFn,2,472,WD,Normal,214000
97,20,Edwards,4,1965,1965,HdBoard,HdBoard,BrkFace,TA,CBlock,TA,No,Rec,960,TA,960,960,TA,NoFireplace,Attchd,1965.0,Fin,1,432,WD,Normal,94750
98,30,Edwards,5,1920,1950,Wd Sdng,Wd Sdng,None,TA,BrkTil,TA,No,ALQ,458,Fa,835,835,TA,NoFireplace,Basment,1920.0,Unf,1,366,COD,Abnorml,83000
99,20,NAmes,4,1959,1959,Plywood,Plywood,None,TA,CBlock,TA,No,ALQ,950,Fa,1225,1225,TA,NoFireplace,NoGarage,,NoGarage,0,0,WD,Normal,128950
100,20,NWAmes,6,1977,2001,Plywood,Plywood,BrkFace,TA,PConc,TA,Mn,ALQ,1610,Gd,1610,1610,Gd,TA,Attchd,1977.0,RFn,2,480,WD,Normal,205000
101,60,SawyerW,6,1985,1985,HdBoard,HdBoard,BrkFace,Gd,CBlock,Gd,No,Unf,741,TA,977,1732,Gd,TA,Attchd,1985.0,Fin,2,476,WD,Normal,178000
102,90,SawyerW,5,1979,1979,HdBoard,HdBoard,None,TA,Slab,NoBsmt,NoBsmt,NoBsmt,0,TA,1535,1535,TA,NoFireplace,Attchd,1979.0,Unf,2,410,WD,Alloca,118964
103,20,CollgCr,7,2009,2009,VinylSd,VinylSd,None,TA,PConc,Gd,No,Unf,1226,Ex,1226,1226,Gd,NoFireplace,Attchd,2009.0,RFn,3,740,WD,Normal,198900
104,50,IDOTRR,7,1931,1950,Stucco,Stucco,BrkFace,TA,PConc,TA,No,LwQ,1040,Ex,1226,1818,TA,TA,Detchd,1951.0,Unf,1,240,WD,Normal,169500
105,60,Somerst,8,2003,2004,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,No,Unf,1053,Ex,1053,1992,Gd,Gd,Attchd,2003.0,RFn,2,648,WD,Normal,250000
106,30,OldTown,4,1885,1995,VinylSd,VinylSd,None,TA,BrkTil,Fa,No,Unf,641,Gd,1047,1047,TA,NoFireplace,Detchd,1954.0,Unf,1,273,WD,Normal,100000
107,20,OldTown,5,1948,1950,VinylSd,VinylSd,None,TA,CBlock,TA,No,ALQ,789,Ex,789,789,TA,NoFireplace,Detchd,1948.0,Unf,1,250,WD,Partial,115000
108,50,IDOTRR,5,1919,2005,CemntBd,CmentBd,None,TA,CBlock,TA,No,Unf,793,TA,997,1517,Fa,NoFireplace,NoGarage,,NoGarage,0,0,WD,Normal,115000
109,20,NWAmes,6,1977,1977,Plywood,Plywood,BrkFace,TA,CBlock,Gd,No,BLQ,1844,Ex,1844,1844,TA,TA,Attchd,1977.0,RFn,2,546,COD,Normal,190000
110,50,Edwards,6,1954,1972,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,No,Rec,994,Gd,1216,1855,TA,NoFireplace,Attchd,1954.0,Unf,1,325,WD,Normal,136900
111,80,Gilbert,7,2000,2000,VinylSd,VinylSd,None,TA,PConc,Gd,No,GLQ,384,Ex,774,1430,TA,TA,BuiltIn,2000.0,Fin,2,400,WD,Normal,180000
112,60,CollgCr,7,2007,2007,VinylSd,VinylSd,Stone,Gd,PConc,Ex,Av,GLQ,1264,Ex,1282,2696,Ex,Gd,BuiltIn,2007.0,Fin,3,792,New,Partial,383970
113,20,Crawfor,6,1953,1953,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,Gd,Mn,ALQ,1809,TA,2259,2259,Gd,Gd,Basment,1953.0,Unf,2,450,COD,Abnorml,217000
114,70,Crawfor,6,1945,2002,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,No,ALQ,1028,Ex,1436,2320,Gd,TA,Detchd,1945.0,Unf,1,180,WD,Normal,259500
115,160,Somerst,6,1999,1999,MetalSd,MetalSd,BrkFace,TA,PConc,Gd,No,GLQ,729,Gd,729,1458,TA,Fa,Detchd,1999.0,Unf,2,440,WD,Normal,176000
116,20,Sawyer,5,1962,1962,Wd Sdng,Wd Sdng,BrkFace,TA,CBlock,TA,No,LwQ,1092,TA,1092,1092,TA,Po,Attchd,1962.0,Unf,1,288,WD,Normal,139000
117,20,Edwards,5,2006,2007,VinylSd,VinylSd,None,TA,PConc,Gd,No,Unf,1125,Gd,1125,1125,TA,NoFireplace,Attchd,2007.0,Unf,2,430,New,Partial,155000
118,60,SawyerW,7,1990,1990,Plywood,Plywood,None,TA,PConc,Gd,Mn,GLQ,1673,Gd,1699,3222,Gd,TA,Attchd,1990.0,Unf,3,594,WD,Normal,320000
119,60,CollgCr,6,2005,2006,VinylSd,VinylSd,None,Gd,PConc,Gd,No,Unf,728,Ex,728,1456,Gd,Gd,Attchd,2005.0,Fin,2,390,New,Partial,163990
120,80,ClearCr,6,1969,1969,Plywood,Plywood,None,TA,CBlock,TA,Gd,ALQ,938,Ex,988,988,TA,TA,Attchd,1969.0,Unf,2,540,WD,Normal,180000
121,50,IDOTRR,4,1939,1950,AsbShng,AsbShng,None,TA,PConc,TA,No,Unf,732,Gd,772,1123,TA,NoFireplace,Detchd,1979.0,Unf,1,264,WD,Normal,100000
122,20,NAmes,6,1958,1958,MetalSd,MetalSd,BrkFace,TA,CBlock,TA,No,BLQ,1080,Gd,1080,1080,TA,NoFireplace,Attchd,1958.0,Unf,1,288,WD,Normal,136000
123,120,SawyerW,6,1993,1993,Plywood,Plywood,None,Gd,PConc,Gd,No,GLQ,1199,Ex,1199,1199,Gd,NoFireplace,Attchd,1993.0,RFn,2,530,WD,Normal,153900
124,20,NWAmes,6,1979,1998,HdBoard,HdBoard,None,TA,CBlock,Gd,No,Unf,1362,TA,1586,1586,TA,TA,Attchd,1979.0,Unf,2,435,WD,Normal,181000
125,190,IDOTRR,6,1935,1982,Wd Sdng,Wd Sdng,None,TA,CBlock,TA,Av,GLQ,520,Gd,520,754,TA,NoFireplace,NoGarage,,NoGarage,0,0,WD,Normal,84500
126,120,NPkVill,6,1976,1976,Plywood,Plywood,None,TA,CBlock,Gd,No,ALQ,1078,TA,958,958,TA,TA,Attchd,1977.0,RFn,2,440,WD,Normal,128000
127,45,OldTown,5,1930,1950,WdShing,Wd Sdng,None,TA,BrkTil,TA,No,LwQ,672,Ex,840,840,TA,TA,NoGarage,,NoGarage,0,0,WD,Normal,87000
128,60,NAmes,6,1966,1966,VinylSd,VinylSd,BrkFace,TA,CBlock,TA,No,BLQ,660,TA,660,1348,TA,Fa,Attchd,1966.0,RFn,2,453,WD,Normal,155000
129,20,NAmes,5,1958,1991,Plywood,Plywood,BrkFace,TA,CBlock,TA,No,Rec,1008,TA,1053,1053,Ex,NoFireplace,2Types,1998.0,RFn,2,750,WD,Abnorml,150000
130,60,NAmes,7,1966,1966,MetalSd,MetalSd,BrkFace,TA,CBlock,TA,No,Rec,924,Ex,1216,2157,Gd,Gd,Attchd,1966.0,Fin,2,487,WD,Normal,226000
131,60,Gilbert,6,2000,2000,VinylSd,VinylSd,BrkFace,Gd,PConc,Gd,No,GLQ,992,Ex,1022,2054,Gd,TA,BuiltIn,2000.0,RFn,2,390,WD,Normal,244000
132,20,NAmes,5,1959,2002,MetalSd,MetalSd,None,TA,CBlock,TA,No,Rec,1063,Gd,1327,1327,Gd,NoFireplace,Detchd,1974.0,Unf,2,624,WD,Normal,150750
133,20,Timber,8,2001,2002,VinylSd,VinylSd,BrkFace,Gd,PConc,Ex,No,GLQ,1267,Ex,1296,1296,Gd,NoFireplace,Attchd,2001.0,Fin,2,471,WD,Normal,220000
