MSSubClass,MSZoning,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,LowQualFinSF,GrLivArea,BsmtHalfBath,FullBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,SaleType,SaleCondition,SalePrice
60,RL,NoAlley,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,Ex,TA,PConc,Ex,TA,No,GLQ,0,177,1175,GasA,Ex,Y,SBrkr,1182,0,2324,0,3,4,1,Ex,11,Typ,Gd,BuiltIn,Fin,3,736,TA,TA,Y,0,0,0,0,NoFence,0,New,Partial,345000
20,RL,NoAlley,IR2,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,TA,TA,CBlock,TA,TA,No,ALQ,0,175,912,GasA,TA,Y,SBrkr,912,0,912,0,1,2,1,TA,4,Typ,NoFireplace,Detchd,Unf,1,352,TA,TA,Y,0,0,176,0,NoFence,0,WD,Normal,144000
20,RL,NoAlley,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,Av,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,1494,0,2,3,1,Gd,7,Typ,Gd,Attchd,RFn,3,840,TA,TA,Y,0,0,0,0,NoFence,0,New,Partial,279500
20,RL,NoAlley,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,0,520,1253,GasA,TA,Y,SBrkr,1253,0,1253,0,1,2,1,TA,5,Typ,Fa,Attchd,RFn,1,352,TA,TA,Y,176,0,0,0,GdWo,0,WD,Normal,157000
45,RM,NoAlley,Reg,Lvl,Corner,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,854,0,1,2,1,TA,5,Typ,NoFireplace,Detchd,Unf,2,576,TA,TA,Y,0,0,0,0,GdPrv,0,WD,Normal,132000
20,RL,NoAlley,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,1004,0,1,2,1,TA,5,Typ,TA,Attchd,Fin,2,480,TA,TA,Y,0,0,0,0,NoFence,700,WD,Normal,149000
90,RL,NoAlley,Reg,Lvl,Inside,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,Slab,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0,0,0,GasA,TA,Y,SBrkr,1296,0,1296,0,2,2,2,TA,6,Typ,NoFireplace,CarPort,Unf,2,516,TA,TA,Y,0,0,0,0,NoFence,500,WD,Normal,90000
20,RL,NoAlley,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,TA,TA,No,GLQ,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,1114,0,1,3,1,Gd,6,Typ,NoFireplace,Detchd,Unf,2,576,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,159000
20,RL,NoAlley,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,TA,TA,CBlock,TA,TA,No,LwQ,0,525,1029,GasA,TA,Y,SBrkr,1339,0,1339,0,1,3,1,TA,6,Min1,NoFireplace,Attchd,Unf,1,294,TA,TA,Y,0,0,0,0,MnPrv,0,COD,Abnorml,139000
60,RL,NoAlley,IR1,Lvl,Corner,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Ex,TA,Av,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,0,2376,0,3,4,1,Gd,9,Typ,Gd,BuiltIn,RFn,3,853,TA,TA,Y,0,0,0,0,NoFence,0,New,Partial,325300
45,RM,Grvl,Reg,Bnk,Inside,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,1108,0,1,3,1,Gd,6,Typ,Gd,Attchd,Unf,1,280,TA,TA,N,205,0,0,0,GdPrv,0,WD,Normal,139400
20,RL,NoAlley,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,1795,0,2,3,1,Gd,7,Typ,Gd,Attchd,RFn,2,534,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,230000
120,RM,NoAlley,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,0,200,1040,GasA,TA,Y,SBrkr,1060,0,1060,0,1,3,1,TA,6,Typ,TA,Attchd,Unf,2,572,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,129900
20,RL,NoAlley,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,1060,0,1,3,1,Gd,6,Typ,TA,Attchd,Unf,1,270,TA,TA,Y,0,0,0,0,MnPrv,0,WD,Normal,154000
20,RL,NoAlley,Reg,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,1600,0,2,3,1,Gd,7,Typ,Gd,Attchd,RFn,3,890,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,256300
20,RL,NoAlley,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,486,180,900,GasA,TA,Y,SBrkr,900,0,900,1,1,3,1,Gd,5,Typ,NoFireplace,Detchd,Unf,2,576,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,134800
20,RL,NoAlley,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,1704,0,2,3,1,Gd,7,Typ,Gd,Attchd,RFn,3,772,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,306000
20,RL,NoAlley,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,0,207,1484,GasA,TA,Y,SBrkr,1600,0,1600,0,1,2,1,TA,6,Typ,Gd,Attchd,RFn,1,319,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,207500
30,RM,NoAlley,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,0,520,520,GasA,Fa,N,SBrkr,520,0,520,0,1,1,1,Fa,4,Typ,NoFireplace,Detchd,Unf,1,240,Fa,TA,Y,87,0,0,0,NoFence,0,WD,Normal,68500
70,C (all),Pave,Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,0,649,649,GasA,TA,N,SBrkr,649,0,1317,0,1,3,1,TA,6,Typ,NoFireplace,Detchd,Unf,1,250,TA,Fa,N,172,0,0,0,MnPrv,0,WD,Normal,40000
20,RL,NoAlley,IR1,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,1228,0,1,3,1,Gd,6,Typ,NoFireplace,Attchd,Unf,1,271,TA,TA,Y,0,0,0,0,MnPrv,0,WD,Normal,149350
20,RL,NoAlley,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,1234,0,2,3,1,Gd,7,Typ,NoFireplace,Attchd,RFn,2,484,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,179900
20,RL,NoAlley,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,1700,1,1,4,1,Gd,6,Typ,Gd,Attchd,RFn,2,447,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,165500
120,RL,NoAlley,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,1561,0,2,2,1,Ex,6,Typ,Gd,Attchd,Fin,2,556,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,277500
60,RL,NoAlley,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1132,0,2452,0,3,4,1,Gd,9,Typ,Gd,BuiltIn,Fin,3,691,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,309000
20,RL,NoAlley,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,1097,0,1,3,1,TA,6,Typ,NoFireplace,Attchd,Unf,2,672,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,145000
20,RL,NoAlley,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,1297,1,1,3,1,TA,5,Typ,TA,Attchd,Fin,2,498,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,153000
20,RL,NoAlley,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,0,326,1057,GasA,TA,Y,SBrkr,1057,0,1057,0,1,3,1,Gd,5,Typ,NoFireplace,Detchd,Unf,1,246,TA,TA,Y,0,0,0,0,NoFence,0,WD,Abnorml,109000
90,RL,NoAlley,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,NoBsmt,NoBsmt,NoBsmt,NoBsmt,0,0,0,GasA,TA,N,FuseP,1152,0,1152,0,2,2,2,Fa,6,Typ,NoFireplace,NoGarage,NoGarage,0,0,NoGarage,NoGarage,N,0,0,0,0,NoFence,0,WD,AdjLand,82000
20,RL,NoAlley,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,1324,0,2,3,1,TA,6,Typ,TA,Attchd,RFn,2,440,TA,TA,Y,0,0,0,0,GdWo,0,WD,Abnorml,160000
20,RL,NoAlley,Reg,Lvl,Inside,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,1328,1,1,2,1,TA,5,Typ,Gd,Attchd,RFn,1,308,TA,TA,P,0,0,0,0,NoFence,0,WD,Normal,170000
85,RL,NoAlley,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,93,0,840,GasA,Gd,Y,SBrkr,884,0,884,0,1,2,1,Gd,5,Typ,NoFireplace,Attchd,RFn,2,504,TA,Gd,Y,0,0,0,0,MnPrv,0,WD,Normal,144000
20,RL,NoAlley,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,491,167,938,GasA,TA,Y,SBrkr,938,0,938,0,1,3,1,TA,5,Typ,NoFireplace,Detchd,Unf,1,308,TA,TA,Y,0,0,0,0,MnPrv,0,WD,Normal,130250
20,RL,NoAlley,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,506,465,1150,GasA,Ex,Y,FuseA,1150,0,1150,0,1,3,1,TA,6,Typ,NoFireplace,Attchd,RFn,1,300,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,141000
120,RL,NoAlley,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,0,1296,1752,GasA,Ex,Y,SBrkr,1752,0,1752,0,2,2,1,Ex,6,Typ,Gd,Attchd,RFn,2,576,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,319900
50,RL,NoAlley,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,0,83,1434,GasA,Ex,Y,SBrkr,1518,0,2149,0,1,1,1,Gd,6,Typ,Ex,Attchd,RFn,2,670,TA,TA,Y,0,0,198,0,NoFence,0,WD,Abnorml,239686
20,FV,NoAlley,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,0,1632,1656,GasA,Ex,Y,SBrkr,1656,0,1656,0,2,3,1,Gd,7,Typ,NoFireplace,Attchd,RFn,3,826,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,249700
190,RM,NoAlley,Reg,Lvl,Inside,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,0,736,736,GasA,Gd,Y,SBrkr,736,0,1452,0,2,2,3,TA,8,Typ,NoFireplace,NoGarage,NoGarage,0,0,NoGarage,NoGarage,N,102,0,0,0,NoFence,0,New,Partial,113000
20,RL,NoAlley,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,0,192,955,GasA,Ex,Y,SBrkr,955,0,955,0,1,3,1,TA,6,Typ,NoFireplace,Attchd,Unf,1,386,TA,TA,Y,0,0,0,0,MnPrv,0,WD,Normal,127000
60,RL,NoAlley,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,0,612,794,GasA,Gd,Y,SBrkr,794,0,1470,1,2,3,1,TA,6,Typ,NoFireplace,Attchd,Fin,2,388,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,177000
50,RM,NoAlley,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,TA,No,Unf,0,816,816,GasA,TA,Y,SBrkr,816,360,1176,0,1,3,1,TA,6,Typ,Gd,Detchd,Unf,2,528,TA,TA,Y,0,0,0,0,MnPrv,400,WD,Normal,114500
90,RM,NoAlley,IR2,Bnk,Corner,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,Fa,TA,CBlock,Gd,TA,Gd,LwQ,712,0,816,GasA,TA,N,SBrkr,816,0,816,0,1,2,1,TA,5,Typ,NoFireplace,CarPort,Unf,2,516,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,110000
20,RL,NoAlley,IR1,Low,Inside,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShngl,WdShing,Wd Shng,None,Gd,TA,CBlock,Ex,TA,Gd,GLQ,0,32,1842,GasA,Gd,Y,SBrkr,1842,0,1842,0,0,0,1,Gd,5,Typ,Gd,Attchd,Fin,3,894,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,385000
80,RL,NoAlley,Reg,Bnk,Inside,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,No,ALQ,0,0,384,GasA,TA,Y,SBrkr,1360,0,1360,0,1,3,1,TA,6,Min1,TA,Detchd,Unf,2,572,TA,TA,Y,0,0,0,0,MnPrv,0,WD,Normal,130000
20,RL,NoAlley,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,0,935,1425,GasA,Gd,Y,SBrkr,1425,0,1425,0,2,3,1,TA,7,Typ,Gd,Attchd,RFn,2,576,TA,TA,Y,0,407,0,0,NoFence,0,WD,Normal,180500
160,FV,Pave,Reg,Lvl,Inside,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,0,321,970,GasA,Ex,Y,SBrkr,983,0,1739,0,2,3,1,Gd,7,Typ,NoFireplace,Attchd,Fin,2,480,TA,TA,Y,0,0,0,0,NoFence,0,WD,Abnorml,172500
60,RL,NoAlley,IR1,Lvl,Corner,CollgCr,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,0,860,860,GasA,Ex,Y,SBrkr,860,0,1720,0,2,3,1,Gd,7,Typ,NoFireplace,Attchd,RFn,2,565,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,196500
60,RL,NoAlley,IR2,HLS,CulDSac,StoneBr,Norm,1Fam,2Story,10,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,TA,Gd,Unf,0,1410,1410,GasA,Ex,Y,SBrkr,1426,0,2945,0,3,3,1,Gd,10,Typ,Gd,BuiltIn,Fin,3,641,TA,TA,Y,37,0,0,0,NoFence,0,New,Partial,438780
20,RL,NoAlley,Reg,Bnk,Inside,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,Av,ALQ,0,148,780,GasA,Ex,Y,SBrkr,780,0,780,0,1,2,1,TA,4,Typ,NoFireplace,Detchd,Unf,1,352,TA,TA,Y,0,0,0,0,MnPrv,0,WD,Normal,124900
20,RL,NoAlley,Reg,Lvl,Inside,SawyerW,RRAe,1Fam,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,0,217,1158,GasA,Ex,Y,SBrkr,1158,0,1158,0,1,3,1,Gd,5,Typ,NoFireplace,Detchd,Unf,2,576,TA,TA,Y,0,0,0,0,NoFence,0,New,Partial,158000
75,RM,NoAlley,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,Fa,No,Unf,0,530,530,GasA,TA,N,SBrkr,581,0,1111,0,1,3,1,Fa,6,Typ,NoFireplace,Detchd,Unf,1,288,TA,TA,N,144,0,0,0,NoFence,0,WD,Normal,101000
120,RL,NoAlley,IR1,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Gd,Mn,GLQ,0,1346,1370,GasA,Ex,Y,SBrkr,1370,0,1370,0,2,2,1,Gd,6,Typ,Gd,Attchd,RFn,2,484,TA,TA,Y,0,0,0,0,NoFence,0,WD,Normal,202500
70,RM,NoAlley,IR1,Bnk,Inside,OldTown,RRAn,1Fam,2Story,7,6,1921,1950,Gable,CompShg,Stucco,Stucco,None,TA,TA,BrkTil,TA,TA,No,Unf,0,576,576,GasA,Gd,Y,SBrkr,902,0,1710,0,2,3,1,TA,9,Typ,NoFireplace,Detchd,Unf,2,480,TA,TA,Y,64,0,0,0,GdPrv,0,WD,Normal,140000
